Port_IDs,Total_PnL,Total_Investment,ROI,Total_Positions,Win_Positions,Win_Rate,Mean_Return,Std_Return,Sharpe_Ratio,MDD,Score
3672754654734989568,566.59765978,933984676.793436,6.0664556267159296e-05,474,210,44.303797468354425,1.1953537126160336,6.451799122657953,0.18217456716659555,80.77703672000018,-7.239977280812292
3733192481840423936,2923.97719988,55285475911.82555,5.288870452238546e-06,689,553,80.2612481857765,4.243798548447025,70.41844733899562,0.05998142117666392,2743.12,-532.5537543498306
3768170840939476993,243.66889897,579922.9171301029,0.04201746331665214,14,6,42.857142857142854,17.404921355,41.022498585130585,0.4237899190592332,0.0,8.711170786141336
3784403294629753856,2521.81430468,352112773.63591874,0.0007161950640528401,6050,1829,30.231404958677686,0.4168288106909091,3.9107618567838616,0.10147097297743765,271.29198097000017,-48.18145905185205
3786761687746711808,205.02139999,2796828601.066778,7.330495687572697e-06,82,37,45.1219512195122,2.5002609754878047,11.620986242555336,0.21342947351621858,123.46026665,-15.603632044893988
3788465932399412480,13960.96645667,886244610.8321872,0.0015752949339303286,3069,1369,44.607363962202676,4.549027845118931,29.749289912078247,0.1522398638254603,1772.2194397900003,-345.47627061793173
3818233536529843712,6419.60790714,8309364200.348967,7.725751035043568e-05,1421,482,33.919774806474315,4.517669181660803,29.28185753007359,0.15359917577091972,2036.5375697500006,-400.4774560587209
3819545518395756033,980.0631999599999,9185565065.81572,1.0669601629706227e-05,68,26,38.23529411764706,14.412694117058821,67.12229094256563,0.21442495354299193,0.0,7.711389510472799
3826087012661391104,532.65697373,19010152.418403655,0.0028019605630007303,108,63,58.333333333333336,4.932009016018519,7.3055823625850245,0.6723637859693423,12.925980130000028,9.284020364626365
3858510226868015873,-280.97295038999994,2703954079.93371,-1.0391187944910968e-05,996,243,24.397590361445783,-0.28210135581325296,20.80661580951278,-0.014519485464576718,827.30973014,-160.58678691870662
3865845304835489536,1406.06618669,1775358.6300209498,0.07919899466585002,882,451,51.13378684807256,1.594179349988662,6.544928305477614,0.24051896010399257,78.66142699000001,-5.409612641954537
3878631538480067329,3921.23304116,2813620535.524912,0.00013936609402903904,2811,1415,50.337958022056206,1.394960171170402,8.93825036177692,0.15382878253782328,1039.8421924400013,-197.85465643899948
3879821005658659073,4268.00656095,2796942097.071324,0.000152595456495829,872,289,33.142201834862384,4.894502936869266,37.37970169828229,0.1304050785695078,1961.0298660699996,-385.53836554481967
3880920727367689984,-176.82699999000002,4800793551.26269,-3.6832869004227756e-06,145,49,33.793103448275865,-1.2194965516551726,31.570472983098846,-0.0392612601122173,609.39066665,-115.13129212336456
